datetime,Seattle
2013-07-16,292.01854166666664
2013-07-17,294.98625
2013-07-18,293.16999999999996
2013-07-19,290.802625
2013-07-20,291.59833333333336
2013-07-21,290.49097916666665
2013-07-22,290.2483333333333
2013-07-23,290.8903194458333
2013-07-24,292.65999999999997
2013-07-25,294.26708333333335
2013-07-26,293.39416666666665
2013-07-27,293.7375
2013-07-28,291.36875
2013-07-29,289.5627083333334
2013-07-30,289.45775
2013-07-31,290.76416666666665
2013-08-01,289.9420833333334
2013-08-02,289.6244166666666
2013-08-03,288.6285416666667
2013-08-04,289.57125
2013-08-05,291.7164583333333
2013-08-06,294.05250000000007
2013-08-07,293.8033125
2013-08-08,294.09012499999994
2013-08-09,293.04358333333323
2013-08-10,292.59541666666667
2013-08-11,292.7447916666667
2013-08-12,290.90375
2013-08-13,291.4895833333333
2013-08-14,291.84528125
2013-08-15,292.14380902916656
2013-08-16,290.7598333333333
2013-08-17,292.2012499999999
2013-08-18,292.59600000000006
2013-08-19,292.38922916666667
2013-08-20,291.8079166666666
2013-08-21,291.67604166666666
2013-08-22,291.41666666666674
2013-08-23,293.0243541666667
2013-08-24,292.69304166666666
2013-08-25,291.32593055416663
2013-08-26,290.06689583333326
2013-08-27,291.38843749999995
2013-08-28,291.8113125
2013-08-29,293.1711979166667
2013-08-30,292.6374375
2013-08-31,291.36457291666665
2013-09-01,292.1535416666667
2013-09-02,293.3142291666666
2013-09-03,291.14278750000005
2013-09-04,289.90919791666664
2013-09-05,290.5889097208334
2013-09-06,290.1770465291666
2013-09-07,289.86990833333334
2013-09-08,291.0603854166667
2013-09-09,290.8652083333333
2013-09-10,290.6974722208334
2013-09-11,294.1865555541666
2013-09-12,292.87278055416675
2013-09-13,290.60665624999984
2013-09-14,290.21343749999994
2013-09-15,288.08
2013-09-16,289.0367291666666
2013-09-17,287.09258333333327
2013-09-18,286.7781944458332
2013-09-19,287.1082222208333
2013-09-20,287.22765972083323
2013-09-21,287.06378333333333
2013-09-22,286.7368479166667
2013-09-23,286.19017152916666
2013-09-24,285.04975000416664
2013-09-25,284.17256249999997
2013-09-26,283.2242916666667
2013-09-27,284.59604166666674
2013-09-28,285.9545
2013-09-29,284.2719374999999
2013-09-30,283.7020104166666
2013-10-01,283.11030277916666
2013-10-02,283.2035583333333
2013-10-03,283.00938541666665
2013-10-04,282.7739583333333
2013-10-05,284.4319583333332
2013-10-06,284.78439583333324
2013-10-07,285.57906249999996
2013-10-08,283.03522013749995
2013-10-09,279.7616249999999
2013-10-10,281.7416666666666
2013-10-11,283.6064583333334
2013-10-12,283.0552708333333
2013-10-13,281.5210993041667
2013-10-14,280.88589375000004
2013-10-15,281.5068125
2013-10-16,282.30321180416666
2013-10-17,282.58363888750006
2013-10-18,281.43541666666664
2013-10-19,280.9162013875
2013-10-20,281.1156388874999
2013-10-21,281.0437708333332
2013-10-22,282.25214583333326
2013-10-23,282.3074791666666
2013-10-24,280.5528395833333
2013-10-25,281.7022013875
2013-10-26,282.5484916666666
2013-10-27,280.85624305416667
2013-10-28,280.6915625
2013-10-29,279.25906249999997
2013-10-30,279.38395833333334
2013-10-31,282.65431249999995
2013-11-01,283.22314583333326
2013-11-02,282.5658125
2013-11-03,280.25354166666665
2013-11-04,278.1971875
2013-11-05,279.4706666666666
2013-11-06,280.59652777916665
2013-11-07,282.2079166666667
2013-11-08,282.4022916666666
2013-11-09,280.674375
2013-11-10,280.93125
2013-11-11,281.6766666666667
2013-11-12,282.89208333333323
2013-11-13,284.06083333333333
2013-11-14,282.13645833333334
2013-11-15,279.6758333333334
2013-11-16,279.191875
